,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
SOCS3,-0.0045772195,-0.004544642,0.005377096,8.1273814e-05,-0.0021238714,0.0,-0.006913355,0.0,-0.0032421846,-3.6281737e-05,0.0,4.794667e-05,-3.2998156e-05,0.0,0.0,-3.4687942e-05,-0.0057453834
CD40,0.0,-5.9340714e-08,-2.7096276e-06,0.032162104,-0.0002467251,2.4729863e-05,-0.015946606,0.0,0.005410471,2.765095e-07,-2.9102297e-05,-3.7236012e-05,0.0,0.00016674661,-0.00027348317,0.0,0.025436128
TNF,0.002914094,0.0,-0.0017738849,0.0033714592,0.0022552346,0.001039999,-0.0023893085,0.0012965606,0.00015431845,0.0029661877,0.0024679094,0.0061789295,0.0,0.00023387659,0.00010311445,2.3212851e-05,0.0020727275
IL18,-0.00023818482,0.0,0.0,0.0009423842,0.0,-1.3542769e-05,0.00020316409,-0.0017337365,0.0,2.9313194e-05,0.0,9.005641e-07,0.0,0.0005640408,0.0004000926,-4.8113412e-05,0.0019428835
OSM,-0.001893922,0.0015286971,-0.00014291785,0.0,0.014222717,3.8548465e-06,0.018111825,0.0,0.0,-1.4247723e-07,-2.645023e-05,1.841089e-05,0.0,0.0,0.0,-5.0917326e-05,0.005700824
HSPA4,-3.465153e-05,0.0,0.0,0.0016649198,-0.0044708317,0.0,0.0012373307,-0.00017945415,4.8566545e-08,0.0,4.3355563e-08,0.0,0.0,0.0,9.108474e-08,0.0,-0.005594575
HSP90AB1,-0.00021974261,-2.516443e-07,0.0,6.267853e-05,0.0013740992,0.0,-4.1482676e-07,0.0,0.0,0.0,0.0,4.8028232e-06,0.0,0.0,0.0,2.3517812e-07,0.021925261
IL1B,0.0,0.0,0.0,-0.0066691735,0.04945028,-0.019584775,0.042775616,-0.011427304,0.0,-0.02556622,0.0,0.019474376,-3.0252062e-07,3.0535145e-06,-9.271023e-05,0.0006591707,0.026076928
STAT5A,0.002976543,-2.984982e-06,0.0,-0.00051384984,-0.004029955,0.0,0.0,2.0336192e-06,9.45436e-05,-0.00018681229,0.00017771688,0.0,0.0,0.0,0.0,-8.006241e-06,-0.0036002197
IL7R,-0.00240281,5.358212e-07,0.0,0.0,-3.027947e-06,0.0,0.0,0.0,0.0,-2.4175692e-06,8.541146e-05,9.254909e-05,1.1254351e-05,0.0,0.0,-7.6747965e-05,-0.05675741
JUNB,0.0,-0.00023281775,-0.00010164041,0.0,0.06604287,-2.8305717e-06,-4.5703e-07,0.0,0.0,0.0,-2.3394334e-05,0.0,7.72214e-06,0.0,0.0,5.5715975e-07,0.04384611
SLPI,0.0010013176,0.00047811563,0.0,-0.001641928,0.0015467895,-9.430862e-06,-0.00086505216,0.0,0.0,0.00012600409,-8.275086e-06,0.0,-6.432801e-05,0.0,0.0,3.1961757e-05,-0.0004150835
FOS,0.0016198826,8.191461e-06,0.0,0.0,0.014882395,0.0,0.015812822,0.0,0.009590482,0.0,0.0,0.00024408486,0.0,0.0,0.0,0.0,0.011084156
CAMK4,-1.48558665e-05,0.0,-0.00019091017,-0.013930659,-0.00028381203,-0.006143463,-7.9343545e-06,0.0,9.418931e-05,-1.3997308e-06,0.0,-0.00029244338,-0.00013147603,0.0,1.7182905e-05,0.0,-0.01159443
LGALS3,0.0,8.844661e-08,-1.0544538e-05,0.12367676,-4.6293684e-05,0.064768225,0.07612705,0.0,0.0,0.0,0.0,0.0,0.00019836845,0.0,0.0,0.0,0.23194687
IL6,0.0038384292,4.800632e-05,0.0,-0.0017388777,-0.0026001662,0.0021304674,0.0007436434,0.0,0.0,-0.0013718341,0.0028151893,-0.0012481224,-0.0016167073,8.369309e-06,0.0,-0.00023826494,-0.0024948402
STAT5B,0.004239757,-0.004119768,0.00029126677,-3.86868e-08,0.0,1.7810686e-05,0.0,0.0,0.0,7.400996e-05,-2.3236133e-05,0.0,-0.0006025593,0.0,-1.6705555e-05,0.0,-0.0038993903
STAT3,0.00116918,-0.00011079035,0.0,0.00013440645,-0.0019898743,0.0,-0.006827677,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027217012,-2.2412307e-08,0.00016102522,-0.003966243
MYC,-0.0019556717,0.0,0.031773508,-1.808316e-05,-0.025382012,-0.0006636855,4.3359822e-08,-9.187048e-05,0.0,6.852184e-05,1.485605e-05,0.0,-8.797416e-06,0.0,-6.308214e-08,0.0,-0.027302736
FCER1G,0.00013226611,0.0,-0.00033120727,0.0,-0.00010533456,0.0,0.0,0.0,0.20983493,-1.5395799e-05,2.5481447e-07,0.0,0.0,0.0,0.0,-0.00014936485,0.37019947
CCL5,0.0,8.5395804e-05,0.000107531014,-0.02341104,-0.028939907,-0.013827364,-0.010602833,0.12713501,1.2065315e-05,0.0,-0.0022227417,-0.0031836536,0.0,-0.005761279,0.0,0.23188956,-0.02341879
FASLG,0.00066754606,0.0,0.00051370164,-0.0029389584,-0.005921894,-0.0075686486,-0.009939861,1.5631053e-05,0.0,-3.9926367e-06,0.0,0.0,-9.85184e-05,0.0,0.0,0.0,-0.002308983
