,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
CREM,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.056613535,0.021264417,0.0,0.021264417,0.0,0.0,0.021264417,0.0,0.0,0.021264417,0.053453427
DCLRE1C,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.054120935,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.054205675
DDX50,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.053316396,0.0,0.0,0.0,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.05502241
DIMT1,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.055219375,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.054081626
GSTK1,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.053722054,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.05514487
INO80,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.055400293,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.0,0.0,0.053174783
KIF2A,0.0,0.0,0.0,0.0,0.021264417,0.021264417,0.05468626,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.0,0.0,0.05298906
MAN1A1,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.05329272,0.021264417,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.053219557
MED16,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.055741478,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.05491506
MTMR9,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.05445093,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.05432608
PPIP5K2,0.0,0.0,0.0,0.0,0.0,0.021264417,0.053078286,0.021264417,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.05316165
PWP2,0.021264417,0.0,0.021264417,0.0,0.021264417,0.021264417,0.05397125,0.021264417,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.05187868
SEMA4B,0.021264417,0.0,0.0,0.0,0.0,0.0,0.05561785,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.021264417,0.051753066
SNRNP27,0.021264417,0.0,0.0,0.0,0.0,0.0,0.055028714,0.0,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.055511367
UBR1,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.05480253,0.0,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.05200277
ZC3HAV1,0.021264417,0.0,0.0,0.021264417,0.0,0.0,0.055804737,0.0,0.0,0.0,0.0,0.0,0.021264417,0.0,0.0,0.021264417,0.054417025
ZNF181,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.054545145,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.051520012
ZNF230,0.021264417,0.0,0.0,0.021264417,0.0,0.0,0.05578354,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.05279241
ZNF302,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.055479348,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.0,0.054352798
ZNF655,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.0535971,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.05342678
