,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
CD40,0.0,1.1868143e-07,5.4192556e-06,0.0051383777,0.0004934502,4.9459723e-05,0.0059327055,0.0,0.013462696,5.53019e-07,5.8204594e-05,7.4472024e-05,0.0,0.00033349326,0.0005469664,0.0,0.005019685
TNF,0.003225572,0.0,0.0061463513,0.0026035819,0.0047221133,0.002439641,0.0054322784,0.008139332,0.0055072755,0.0044920533,0.003199302,0.0064518494,0.0,0.00046775315,0.0002062289,4.6425703e-05,0.0052789315
IL18,0.0036095665,0.0,0.0,0.0036464978,0.0,2.7085538e-05,0.00040632818,0.0046076304,0.0,5.862639e-05,0.0,1.8011283e-06,0.0,0.0011280816,0.00080018514,9.622683e-05,0.0023401752
OSM,0.005958078,0.0022655355,0.0002858357,0.0,0.0043337373,7.709692e-06,0.011168987,0.0,0.0,2.8495447e-07,5.290046e-05,3.682178e-05,0.0,0.0,0.0,0.00010183466,0.0049599065
HSPA4,6.930306e-05,0.0,0.0,0.005359481,0.0022819142,0.0,0.0045407,0.0003589083,9.713309e-08,0.0,8.6711125e-08,0.0,0.0,0.0,1.8216947e-07,0.0,0.0036077772
HSP90AB1,0.00043948524,5.032887e-07,0.0,0.00012535707,0.02453571,0.0,8.296535e-07,0.0,0.0,0.0,0.0,9.6056465e-06,0.0,0.0,0.0,4.7035624e-07,0.03633067
IL1B,0.0,0.0,0.0,0.004111146,0.0037681907,0.0057977745,0.01490703,0.0042530373,0.0,0.011031029,0.0,0.0075454484,6.0504124e-07,6.1070295e-06,0.00018542045,0.0013183414,0.008133117
STAT5A,0.0015358767,0.003476799,0.0,0.0010276998,0.003954614,0.0,0.0,4.0672385e-06,0.00018908718,0.0003736246,0.00035543376,0.0,0.0,0.0,0.0,1.601248e-05,0.004864887
IL7R,0.016902551,1.0716425e-06,0.0,0.0,6.055894e-06,0.0,0.0,0.0,0.0,4.8351385e-06,0.00017082292,0.0001850982,2.2508704e-05,0.0,0.0,0.00015349593,0.02903007
JUNB,0.0,0.00046563547,0.00020328084,0.0,0.017713256,5.661143e-06,9.1405997e-07,0.0,0.0,0.0,4.6788668e-05,0.0,1.544428e-05,0.0,0.0,1.1143195e-06,0.013298924
SLPI,0.0036866353,0.007508437,0.0,0.0047969143,0.006561386,1.8861725e-05,0.0023243336,0.0,0.0,0.00025200815,1.655017e-05,0.0,0.00012865601,0.0,0.0,6.392352e-05,0.008734735
FOS,0.0038650853,1.6382923e-05,0.0,0.0,0.007261159,0.0,0.01368989,0.0,0.013890954,0.0,0.0,0.00048816975,0.0,0.0,0.0,0.0,0.0071135988
CAMK4,2.9711733e-05,0.0,0.00038182034,0.0073801284,0.00056762405,0.0035616786,1.5868709e-05,0.0,0.00018837862,2.7994613e-06,0.0,0.00058488676,0.00026295206,0.0,3.436581e-05,0.0,0.00538522
LGALS3,0.0,1.7689322e-07,2.1089076e-05,0.006965724,9.258736e-05,0.010507384,0.053457618,0.0,0.0,0.0,0.0,0.0,0.00039673687,0.0,0.0,0.0,0.028568089
IL6,0.0077928584,9.601264e-05,0.0,0.005054159,0.0052805375,0.005983051,0.0027324848,0.0,0.0,0.0036894155,0.003357648,0.0072126077,0.003587992,1.6738617e-05,0.0,0.0004765299,0.004139794
STAT5B,0.0073118676,0.005679648,0.00058253354,7.73736e-08,0.0,3.562137e-05,0.0,0.0,0.0,0.00014801991,4.647226e-05,0.0,0.0012051185,0.0,3.341111e-05,0.0,0.0060224836
STAT3,0.006045193,0.0002215807,0.0,0.0002688129,0.0042337654,0.0,0.0043274006,0.0,0.0,0.0,0.0,0.0,0.0,0.00054434023,4.4824617e-08,0.00032205044,0.005919323
MYC,0.0068923393,0.0,0.0105186775,3.616632e-05,0.0048240577,0.001327371,8.6719645e-08,0.00018374095,0.0,0.00013704368,2.9712099e-05,0.0,1.7594832e-05,0.0,1.2616428e-07,0.0,0.0029846404
FCER1G,0.00026453222,0.0,0.0006624146,0.0,0.00021066911,0.0,0.0,0.0,0.07130211,3.07916e-05,5.0962893e-07,0.0,0.0,0.0,0.0,0.0002987297,0.040873323
CCL5,0.0,0.00017079161,0.00021506203,0.0041099526,0.0065427753,0.0049828375,0.0037705195,0.06632728,2.4130628e-05,0.0,0.010590732,0.0072034798,0.0,0.0050741746,0.0,0.022715837,0.012810462
FASLG,0.0013350921,0.0,0.0010274033,0.002960513,0.0030512076,0.0034491858,0.0027750628,3.126211e-05,0.0,7.9852725e-06,0.0,0.0,0.00019703679,0.0,0.0,0.0,0.003900766
MAPK8,0.00666013,0.0,0.0,0.0064871185,0.00586492,0.0005611609,0.0005450984,8.8599365e-05,0.0,0.0015223627,0.0,0.0,0.001042285,0.0,0.00069356855,0.0,0.007694475
MYB,0.0,0.0,0.0,0.0031889179,0.005104713,0.000191039,4.62233e-06,2.4800815e-05,7.766516e-05,0.0,1.1831435e-05,0.0,3.5689864e-06,0.00027387138,5.6594754e-06,0.0,0.00456164
BIRC3,0.0,2.0224574e-05,0.0,0.0036354442,0.005673832,0.0013263446,2.0981435e-05,0.0,0.0,0.0,0.0,0.00028518846,0.0,0.0,0.0,0.0011623974,0.013738847
CD86,0.0,0.0,0.00014702139,1.7957377e-07,0.0,0.0,0.00976819,0.0,0.015680775,0.0,3.396558e-05,0.0010777594,2.5333802e-05,0.000978574,0.0,0.0,0.0047885366
CDKN2D,0.0,5.9449496e-05,0.0,0.0,0.0019631272,5.0154713e-06,0.0,0.0,0.0,0.0,0.00015189238,0.0,0.0,3.667326e-06,0.00045506848,0.0,0.004999605
SOCS1,0.008845887,1.3611754e-05,0.0,0.0063693486,0.005961436,0.00037955874,0.02202545,0.0,0.014183628,0.00055211375,3.913517e-06,1.0274471e-05,0.0008673392,0.00043949415,0.0,0.0008115113,0.013328903
