iteration	tf	gene	wei	cond
0	STAT1	CCL5	-0.02980745	control
0	IRF8	CCL5	0.16578303	control
0	ELF1	CCL5	0.0	control
0	IRF3	CCL5	0.08377355	control
0	IRF5	CCL5	0.21750845	control
0	STAT2	CCL5	-0.0	control
0	IRF7	CCL5	0.23822993	control
0	IRF9	CCL5	-0.0	control
0	unannotated_1	CCL5	0.02719991	control
0	STAT5A	FASLG	-0.0	control
0	STAT5B	FASLG	0.0	control
0	STAT4	FASLG	0.0	control
0	IRF1	FASLG	-0.0000034949364	control
0	STAT3	FASLG	-0.0044981814	control
0	GTF2I	FASLG	-0.0	control
0	STAT1	FASLG	-0.0010128986	control
0	IRF8	FASLG	-0.0	control
0	ELF1	FASLG	0.0	control
0	IRF3	FASLG	0.0	control
0	IRF5	FASLG	0.0	control
0	STAT2	FASLG	-0.0	control
0	IRF7	FASLG	0.0	control
0	IRF9	FASLG	-0.0	control
0	unannotated_1	FASLG	0.009247731	control
0	STAT5A	MAPK8	-0.0021925617	control
0	STAT5B	MAPK8	0.0	control
0	STAT4	MAPK8	0.0	control
0	IRF1	MAPK8	0.0047597475	control
0	STAT3	MAPK8	-0.003207049	control
0	GTF2I	MAPK8	0.0	control
0	STAT1	MAPK8	-0.0	control
0	IRF8	MAPK8	-0.0	control
0	ELF1	MAPK8	-0.0	control
0	IRF3	MAPK8	-0.0	control
0	IRF5	MAPK8	-0.0	control
0	STAT2	MAPK8	-0.0	control
0	IRF7	MAPK8	-0.0	control
0	IRF9	MAPK8	-0.0	control
0	unannotated_1	MAPK8	0.0035808147	control
0	STAT5A	MYB	-0.0	control
0	STAT5B	MYB	-0.0	control
0	STAT4	MYB	0.0	control
0	IRF1	MYB	-0.00046366933	control
0	STAT3	MYB	-0.0025214353	control
0	GTF2I	MYB	-0.0	control
0	STAT1	MYB	0.0	control
0	IRF8	MYB	-0.0	control
0	ELF1	MYB	-0.0	control
0	IRF3	MYB	0.0	control
0	IRF5	MYB	-0.0	control
0	STAT2	MYB	-0.0	control
0	IRF7	MYB	-0.0	control
0	IRF9	MYB	-0.0	control
0	unannotated_1	MYB	-0.001633146	control
0	STAT5A	BIRC3	-0.0	control
0	STAT5B	BIRC3	-0.0	control
0	STAT4	BIRC3	0.0	control
0	IRF1	BIRC3	0.036540765	control
0	STAT3	BIRC3	-0.06634531	control
0	GTF2I	BIRC3	-0.0	control
0	STAT1	BIRC3	0.0	control
0	IRF8	BIRC3	-0.0	control
0	ELF1	BIRC3	0.0	control
0	IRF3	BIRC3	-0.0	control
0	IRF5	BIRC3	-0.0	control
0	STAT2	BIRC3	0.0	control
0	IRF7	BIRC3	-0.0	control
0	IRF9	BIRC3	0.0	control
0	unannotated_1	BIRC3	0.069634944	control
0	STAT5A	CD86	0.0	control
0	STAT5B	CD86	0.0	control
0	STAT4	CD86	0.0	control
0	IRF1	CD86	-0.0	control
0	STAT3	CD86	0.0	control
0	GTF2I	CD86	0.0	control
0	STAT1	CD86	0.04357373	control
0	IRF8	CD86	-0.0	control
0	ELF1	CD86	0.0	control
0	IRF3	CD86	-0.0	control
0	IRF5	CD86	-0.0	control
0	STAT2	CD86	-0.0	control
0	IRF7	CD86	0.0	control
0	IRF9	CD86	-0.0	control
0	unannotated_1	CD86	-0.053934384	control
0	STAT5A	CDKN2D	0.0	control
0	STAT5B	CDKN2D	0.0	control
0	STAT4	CDKN2D	0.0	control
0	IRF1	CDKN2D	0.0	control
0	STAT3	CDKN2D	-0.005729849	control
0	GTF2I	CDKN2D	0.0	control
0	STAT1	CDKN2D	0.0	control
0	IRF8	CDKN2D	-0.0	control
0	ELF1	CDKN2D	-0.0	control
0	IRF3	CDKN2D	0.0	control
0	IRF5	CDKN2D	0.0	control
0	STAT2	CDKN2D	0.0	control
